A: 25
V: 227
D: 7
T: 8
O: 5

Avioes: 

Aviao 	 Capacidade 	 Consumo 	 Velocidade

Aviao 0 	 174 	 2700.00 	 830.00
Aviao 1 	 174 	 2700.00 	 830.00
Aviao 2 	 174 	 2700.00 	 830.00
Aviao 3 	 174 	 2700.00 	 830.00
Aviao 4 	 174 	 2700.00 	 830.00
Aviao 5 	 272 	 7100.00 	 830.00
Aviao 6 	 272 	 7100.00 	 830.00
Aviao 7 	 272 	 7100.00 	 830.00
Aviao 8 	 70 	 800.00 	 500.00
Aviao 9 	 70 	 800.00 	 500.00
Aviao 10 	 70 	 800.00 	 500.00
Aviao 11 	 70 	 800.00 	 500.00
Aviao 12 	 118 	 2300.00 	 830.00
Aviao 13 	 118 	 2300.00 	 830.00
Aviao 14 	 118 	 2300.00 	 830.00
Aviao 15 	 118 	 2300.00 	 830.00
Aviao 16 	 118 	 2300.00 	 830.00
Aviao 17 	 118 	 2300.00 	 830.00
Aviao 18 	 118 	 2300.00 	 830.00
Aviao 19 	 118 	 2300.00 	 830.00
Aviao 20 	 118 	 2300.00 	 830.00
Aviao 21 	 118 	 2300.00 	 830.00
Aviao 22 	 118 	 2300.00 	 830.00
Aviao 23 	 118 	 2300.00 	 830.00
Aviao 24 	 118 	 2300.00 	 830.00

Voos: 

Voo 	 Distancia 	 Demanda
Voo 8/Aeroporto 0: 1 	Voo 8/Aeroporto 1: 0 	Voo 8/Aeroporto 2: 0 	Voo 8/Aeroporto 3: 0 	Voo 8/Aeroporto 4: 0 	
Voo 9/Aeroporto 0: 1 	Voo 9/Aeroporto 1: 0 	Voo 9/Aeroporto 2: 0 	Voo 9/Aeroporto 3: 0 	Voo 9/Aeroporto 4: 0 	
Voo 10/Aeroporto 0: 1 	Voo 10/Aeroporto 1: 0 	Voo 10/Aeroporto 2: 0 	Voo 10/Aeroporto 3: 0 	Voo 10/Aeroporto 4: 0 	
Voo 11/Aeroporto 0: 1 	Voo 11/Aeroporto 1: 0 	Voo 11/Aeroporto 2: 0 	Voo 11/Aeroporto 3: 0 	Voo 11/Aeroporto 4: 0 	
Voo 12/Aeroporto 0: 1 	Voo 12/Aeroporto 1: 0 	Voo 12/Aeroporto 2: 0 	Voo 12/Aeroporto 3: 0 	Voo 12/Aeroporto 4: 0 	
Voo 13/Aeroporto 0: 1 	Voo 13/Aeroporto 1: 0 	Voo 13/Aeroporto 2: 0 	Voo 13/Aeroporto 3: 0 	Voo 13/Aeroporto 4: 0 	
Voo 14/Aeroporto 0: 1 	Voo 14/Aeroporto 1: 0 	Voo 14/Aeroporto 2: 0 	Voo 14/Aeroporto 3: 0 	Voo 14/Aeroporto 4: 0 	
Voo 15/Aeroporto 0: 1 	Voo 15/Aeroporto 1: 0 	Voo 15/Aeroporto 2: 0 	Voo 15/Aeroporto 3: 0 	Voo 15/Aeroporto 4: 0 	
Voo 16/Aeroporto 0: 1 	Voo 16/Aeroporto 1: 0 	Voo 16/Aeroporto 2: 0 	Voo 16/Aeroporto 3: 0 	Voo 16/Aeroporto 4: 0 	
Voo 17/Aeroporto 0: 1 	Voo 17/Aeroporto 1: 0 	Voo 17/Aeroporto 2: 0 	Voo 17/Aeroporto 3: 0 	Voo 17/Aeroporto 4: 0 	
Voo 18/Aeroporto 0: 1 	Voo 18/Aeroporto 1: 0 	Voo 18/Aeroporto 2: 0 	Voo 18/Aeroporto 3: 0 	Voo 18/Aeroporto 4: 0 	
Voo 19/Aeroporto 0: 1 	Voo 19/Aeroporto 1: 0 	Voo 19/Aeroporto 2: 0 	Voo 19/Aeroporto 3: 0 	Voo 19/Aeroporto 4: 0 	
Voo 20/Aeroporto 0: 1 	Voo 20/Aeroporto 1: 0 	Voo 20/Aeroporto 2: 0 	Voo 20/Aeroporto 3: 0 	Voo 20/Aeroporto 4: 0 	
Voo 21/Aeroporto 0: 1 	Voo 21/Aeroporto 1: 0 	Voo 21/Aeroporto 2: 0 	Voo 21/Aeroporto 3: 0 	Voo 21/Aeroporto 4: 0 	
Voo 22/Aeroporto 0: 0 	Voo 22/Aeroporto 1: 1 	Voo 22/Aeroporto 2: 0 	Voo 22/Aeroporto 3: 0 	Voo 22/Aeroporto 4: 0 	
Voo 23/Aeroporto 0: 0 	Voo 23/Aeroporto 1: 1 	Voo 23/Aeroporto 2: 0 	Voo 23/Aeroporto 3: 0 	Voo 23/Aeroporto 4: 0 	
Voo 24/Aeroporto 0: 0 	Voo 24/Aeroporto 1: 1 	Voo 24/Aeroporto 2: 0 	Voo 24/Aeroporto 3: 0 	Voo 24/Aeroporto 4: 0 	
Voo 25/Aeroporto 0: 0 	Voo 25/Aeroporto 1: 1 	Voo 25/Aeroporto 2: 0 	Voo 25/Aeroporto 3: 0 	Voo 25/Aeroporto 4: 0 	
Voo 26/Aeroporto 0: 0 	Voo 26/Aeroporto 1: 1 	Voo 26/Aeroporto 2: 0 	Voo 26/Aeroporto 3: 0 	Voo 26/Aeroporto 4: 0 	
Voo 27/Aeroporto 0: 0 	Voo 27/Aeroporto 1: 1 	Voo 27/Aeroporto 2: 0 	Voo 27/Aeroporto 3: 0 	Voo 27/Aeroporto 4: 0 	
Voo 28/Aeroporto 0: 0 	Voo 28/Aeroporto 1: 1 	Voo 28/Aeroporto 2: 0 	Voo 28/Aeroporto 3: 0 	Voo 28/Aeroporto 4: 0 	
Voo 29/Aeroporto 0: 0 	Voo 29/Aeroporto 1: 1 	Voo 29/Aeroporto 2: 0 	Voo 29/Aeroporto 3: 0 	Voo 29/Aeroporto 4: 0 	
Voo 30/Aeroporto 0: 0 	Voo 30/Aeroporto 1: 1 	Voo 30/Aeroporto 2: 0 	Voo 30/Aeroporto 3: 0 	Voo 30/Aeroporto 4: 0 	
Voo 31/Aeroporto 0: 0 	Voo 31/Aeroporto 1: 1 	Voo 31/Aeroporto 2: 0 	Voo 31/Aeroporto 3: 0 	Voo 31/Aeroporto 4: 0 	
Voo 32/Aeroporto 0: 0 	Voo 32/Aeroporto 1: 1 	Voo 32/Aeroporto 2: 0 	Voo 32/Aeroporto 3: 0 	Voo 32/Aeroporto 4: 0 	
Voo 33/Aeroporto 0: 0 	Voo 33/Aeroporto 1: 1 	Voo 33/Aeroporto 2: 0 	Voo 33/Aeroporto 3: 0 	Voo 33/Aeroporto 4: 0 	
Voo 34/Aeroporto 0: 0 	Voo 34/Aeroporto 1: 1 	Voo 34/Aeroporto 2: 0 	Voo 34/Aeroporto 3: 0 	Voo 34/Aeroporto 4: 0 	
Voo 35/Aeroporto 0: 0 	Voo 35/Aeroporto 1: 1 	Voo 35/Aeroporto 2: 0 	Voo 35/Aeroporto 3: 0 	Voo 35/Aeroporto 4: 0 	
Voo 36/Aeroporto 0: 0 	Voo 36/Aeroporto 1: 1 	Voo 36/Aeroporto 2: 0 	Voo 36/Aeroporto 3: 0 	Voo 36/Aeroporto 4: 0 	
Voo 37/Aeroporto 0: 0 	Voo 37/Aeroporto 1: 1 	Voo 37/Aeroporto 2: 0 	Voo 37/Aeroporto 3: 0 	Voo 37/Aeroporto 4: 0 	
Voo 38/Aeroporto 0: 0 	Voo 38/Aeroporto 1: 1 	Voo 38/Aeroporto 2: 0 	Voo 38/Aeroporto 3: 0 	Voo 38/Aeroporto 4: 0 	
Voo 39/Aeroporto 0: 0 	Voo 39/Aeroporto 1: 1 	Voo 39/Aeroporto 2: 0 	Voo 39/Aeroporto 3: 0 	Voo 39/Aeroporto 4: 0 	
Voo 40/Aeroporto 0: 0 	Voo 40/Aeroporto 1: 1 	Voo 40/Aeroporto 2: 0 	Voo 40/Aeroporto 3: 0 	Voo 40/Aeroporto 4: 0 	
Voo 41/Aeroporto 0: 0 	Voo 41/Aeroporto 1: 1 	Voo 41/Aeroporto 2: 0 	Voo 41/Aeroporto 3: 0 	Voo 41/Aeroporto 4: 0 	
Voo 42/Aeroporto 0: 0 	Voo 42/Aeroporto 1: 1 	Voo 42/Aeroporto 2: 0 	Voo 42/Aeroporto 3: 0 	Voo 42/Aeroporto 4: 0 	
Voo 43/Aeroporto 0: 0 	Voo 43/Aeroporto 1: 1 	Voo 43/Aeroporto 2: 0 	Voo 43/Aeroporto 3: 0 	Voo 43/Aeroporto 4: 0 	
Voo 44/Aeroporto 0: 0 	Voo 44/Aeroporto 1: 1 	Voo 44/Aeroporto 2: 0 	Voo 44/Aeroporto 3: 0 	Voo 44/Aeroporto 4: 0 	
Voo 45/Aeroporto 0: 0 	Voo 45/Aeroporto 1: 1 	Voo 45/Aeroporto 2: 0 	Voo 45/Aeroporto 3: 0 	Voo 45/Aeroporto 4: 0 	
Voo 46/Aeroporto 0: 0 	Voo 46/Aeroporto 1: 1 	Voo 46/Aeroporto 2: 0 	Voo 46/Aeroporto 3: 0 	Voo 46/Aeroporto 4: 0 	
Voo 47/Aeroporto 0: 0 	Voo 47/Aeroporto 1: 1 	Voo 47/Aeroporto 2: 0 	Voo 47/Aeroporto 3: 0 	Voo 47/Aeroporto 4: 0 	
Voo 48/Aeroporto 0: 0 	Voo 48/Aeroporto 1: 1 	Voo 48/Aeroporto 2: 0 	Voo 48/Aeroporto 3: 0 	Voo 48/Aeroporto 4: 0 	
Voo 49/Aeroporto 0: 0 	Voo 49/Aeroporto 1: 1 	Voo 49/Aeroporto 2: 0 	Voo 49/Aeroporto 3: 0 	Voo 49/Aeroporto 4: 0 	
Voo 50/Aeroporto 0: 0 	Voo 50/Aeroporto 1: 1 	Voo 50/Aeroporto 2: 0 	Voo 50/Aeroporto 3: 0 	Voo 50/Aeroporto 4: 0 	
Voo 51/Aeroporto 0: 0 	Voo 51/Aeroporto 1: 1 	Voo 51/Aeroporto 2: 0 	Voo 51/Aeroporto 3: 0 	Voo 51/Aeroporto 4: 0 	
Voo 52/Aeroporto 0: 0 	Voo 52/Aeroporto 1: 1 	Voo 52/Aeroporto 2: 0 	Voo 52/Aeroporto 3: 0 	Voo 52/Aeroporto 4: 0 	
Voo 53/Aeroporto 0: 0 	Voo 53/Aeroporto 1: 1 	Voo 53/Aeroporto 2: 0 	Voo 53/Aeroporto 3: 0 	Voo 53/Aeroporto 4: 0 	
Voo 54/Aeroporto 0: 0 	Voo 54/Aeroporto 1: 1 	Voo 54/Aeroporto 2: 0 	Voo 54/Aeroporto 3: 0 	Voo 54/Aeroporto 4: 0 	
Voo 55/Aeroporto 0: 0 	Voo 55/Aeroporto 1: 1 	Voo 55/Aeroporto 2: 0 	Voo 55/Aeroporto 3: 0 	Voo 55/Aeroporto 4: 0 	
Voo 56/Aeroporto 0: 0 	Voo 56/Aeroporto 1: 1 	Voo 56/Aeroporto 2: 0 	Voo 56/Aeroporto 3: 0 	Voo 56/Aeroporto 4: 0 	
Voo 57/Aeroporto 0: 0 	Voo 57/Aeroporto 1: 1 	Voo 57/Aeroporto 2: 0 	Voo 57/Aeroporto 3: 0 	Voo 57/Aeroporto 4: 0 	
Voo 58/Aeroporto 0: 0 	Voo 58/Aeroporto 1: 1 	Voo 58/Aeroporto 2: 0 	Voo 58/Aeroporto 3: 0 	Voo 58/Aeroporto 4: 0 	
Voo 59/Aeroporto 0: 0 	Voo 59/Aeroporto 1: 1 	Voo 59/Aeroporto 2: 0 	Voo 59/Aeroporto 3: 0 	Voo 59/Aeroporto 4: 0 	
Voo 60/Aeroporto 0: 0 	Voo 60/Aeroporto 1: 1 	Voo 60/Aeroporto 2: 0 	Voo 60/Aeroporto 3: 0 	Voo 60/Aeroporto 4: 0 	
Voo 61/Aeroporto 0: 0 	Voo 61/Aeroporto 1: 1 	Voo 61/Aeroporto 2: 0 	Voo 61/Aeroporto 3: 0 	Voo 61/Aeroporto 4: 0 	
Voo 62/Aeroporto 0: 0 	Voo 62/Aeroporto 1: 1 	Voo 62/Aeroporto 2: 0 	Voo 62/Aeroporto 3: 0 	Voo 62/Aeroporto 4: 0 	
Voo 63/Aeroporto 0: 0 	Voo 63/Aeroporto 1: 1 	Voo 63/Aeroporto 2: 0 	Voo 63/Aeroporto 3: 0 	Voo 63/Aeroporto 4: 0 	
Voo 64/Aeroporto 0: 0 	Voo 64/Aeroporto 1: 1 	Voo 64/Aeroporto 2: 0 	Voo 64/Aeroporto 3: 0 	Voo 64/Aeroporto 4: 0 	
Voo 65/Aeroporto 0: 0 	Voo 65/Aeroporto 1: 1 	Voo 65/Aeroporto 2: 0 	Voo 65/Aeroporto 3: 0 	Voo 65/Aeroporto 4: 0 	
Voo 66/Aeroporto 0: 0 	Voo 66/Aeroporto 1: 1 	Voo 66/Aeroporto 2: 0 	Voo 66/Aeroporto 3: 0 	Voo 66/Aeroporto 4: 0 	
Voo 67/Aeroporto 0: 0 	Voo 67/Aeroporto 1: 1 	Voo 67/Aeroporto 2: 0 	Voo 67/Aeroporto 3: 0 	Voo 67/Aeroporto 4: 0 	
Voo 68/Aeroporto 0: 0 	Voo 68/Aeroporto 1: 1 	Voo 68/Aeroporto 2: 0 	Voo 68/Aeroporto 3: 0 	Voo 68/Aeroporto 4: 0 	
Voo 69/Aeroporto 0: 0 	Voo 69/Aeroporto 1: 1 	Voo 69/Aeroporto 2: 0 	Voo 69/Aeroporto 3: 0 	Voo 69/Aeroporto 4: 0 	
Voo 70/Aeroporto 0: 0 	Voo 70/Aeroporto 1: 1 	Voo 70/Aeroporto 2: 0 	Voo 70/Aeroporto 3: 0 	Voo 70/Aeroporto 4: 0 	
Voo 71/Aeroporto 0: 0 	Voo 71/Aeroporto 1: 1 	Voo 71/Aeroporto 2: 0 	Voo 71/Aeroporto 3: 0 	Voo 71/Aeroporto 4: 0 	
Voo 72/Aeroporto 0: 0 	Voo 72/Aeroporto 1: 1 	Voo 72/Aeroporto 2: 0 	Voo 72/Aeroporto 3: 0 	Voo 72/Aeroporto 4: 0 	
Voo 73/Aeroporto 0: 0 	Voo 73/Aeroporto 1: 1 	Voo 73/Aeroporto 2: 0 	Voo 73/Aeroporto 3: 0 	Voo 73/Aeroporto 4: 0 	
Voo 74/Aeroporto 0: 0 	Voo 74/Aeroporto 1: 1 	Voo 74/Aeroporto 2: 0 	Voo 74/Aeroporto 3: 0 	Voo 74/Aeroporto 4: 0 	
Voo 75/Aeroporto 0: 0 	Voo 75/Aeroporto 1: 1 	Voo 75/Aeroporto 2: 0 	Voo 75/Aeroporto 3: 0 	Voo 75/Aeroporto 4: 0 	
Voo 76/Aeroporto 0: 0 	Voo 76/Aeroporto 1: 1 	Voo 76/Aeroporto 2: 0 	Voo 76/Aeroporto 3: 0 	Voo 76/Aeroporto 4: 0 	
Voo 77/Aeroporto 0: 0 	Voo 77/Aeroporto 1: 1 	Voo 77/Aeroporto 2: 0 	Voo 77/Aeroporto 3: 0 	Voo 77/Aeroporto 4: 0 	
Voo 78/Aeroporto 0: 0 	Voo 78/Aeroporto 1: 1 	Voo 78/Aeroporto 2: 0 	Voo 78/Aeroporto 3: 0 	Voo 78/Aeroporto 4: 0 	
Voo 79/Aeroporto 0: 0 	Voo 79/Aeroporto 1: 1 	Voo 79/Aeroporto 2: 0 	Voo 79/Aeroporto 3: 0 	Voo 79/Aeroporto 4: 0 	
Voo 80/Aeroporto 0: 0 	Voo 80/Aeroporto 1: 1 	Voo 80/Aeroporto 2: 0 	Voo 80/Aeroporto 3: 0 	Voo 80/Aeroporto 4: 0 	
Voo 81/Aeroporto 0: 0 	Voo 81/Aeroporto 1: 1 	Voo 81/Aeroporto 2: 0 	Voo 81/Aeroporto 3: 0 	Voo 81/Aeroporto 4: 0 	
Voo 82/Aeroporto 0: 0 	Voo 82/Aeroporto 1: 1 	Voo 82/Aeroporto 2: 0 	Voo 82/Aeroporto 3: 0 	Voo 82/Aeroporto 4: 0 	
Voo 83/Aeroporto 0: 0 	Voo 83/Aeroporto 1: 1 	Voo 83/Aeroporto 2: 0 	Voo 83/Aeroporto 3: 0 	Voo 83/Aeroporto 4: 0 	
Voo 84/Aeroporto 0: 0 	Voo 84/Aeroporto 1: 1 	Voo 84/Aeroporto 2: 0 	Voo 84/Aeroporto 3: 0 	Voo 84/Aeroporto 4: 0 	
Voo 85/Aeroporto 0: 0 	Voo 85/Aeroporto 1: 1 	Voo 85/Aeroporto 2: 0 	Voo 85/Aeroporto 3: 0 	Voo 85/Aeroporto 4: 0 	
Voo 86/Aeroporto 0: 0 	Voo 86/Aeroporto 1: 1 	Voo 86/Aeroporto 2: 0 	Voo 86/Aeroporto 3: 0 	Voo 86/Aeroporto 4: 0 	
Voo 87/Aeroporto 0: 0 	Voo 87/Aeroporto 1: 1 	Voo 87/Aeroporto 2: 0 	Voo 87/Aeroporto 3: 0 	Voo 87/Aeroporto 4: 0 	
